request_id,department,source_system,asset_id,section_id,track_id,start_km,end_km,defect_type,severity,duration_minutes,earliest_start,latest_deadline,speed_restriction_kmph,machinery_required,power_block_required,elementary_section_id,status,scenario_tag
REQ-3013,ENGINEERING,SIMULATED_TMS,AST-TRK-1153,CNB-PRYJ,CNB-PRYJ-DN,0.0,10.2,TRACK_GEOMETRY_TWIST,URGENT,150,2026-10-03 10:00:00,2026-10-05 10:00:00,75,"[""UNIMAT_01""]",False,ES-CNB-PRYJ,PENDING,BASE_POOL
REQ-3014,TRD,SIMULATED_TDMS,AST-OHE-1086,TDL-ETW,TDL-ETW-UP,0.0,92.0,NEUTRAL_SECTION_PTFE_REPLACEMENT,ROUTINE,180,2026-10-01 07:00:00,2026-10-07 07:00:00,0,"[""TOWER_WAGON_02""]",True,ES-TDL-ETW,PENDING,BASE_POOL
REQ-3015,TRD,SIMULATED_TDMS,AST-OHE-1130,ETW-CNB,ETW-CNB-DN,0.0,139.0,INSULATOR_HEAVY_POLLUTION_CLEANING,URGENT,90,2026-10-01 04:00:00,2026-10-03 04:00:00,0,"[""TOWER_WAGON_02""]",True,ES-ETW-CNB,PENDING,BASE_POOL
REQ-3016,ENGINEERING,SIMULATED_TMS,AST-TRK-1067,ALJN-TDL,ALJN-TDL-DN,22.3,33.4,BALLAST_CLEANING_DEEP,ROUTINE,300,2026-10-01 02:00:00,2026-10-07 02:00:00,45,"[""BCM_01""]",True,ES-ALJN-TDL,PENDING,BASE_POOL
REQ-3017,ENGINEERING,SIMULATED_TMS,AST-TRK-1043,GZB-ALJN,GZB-ALJN-DN,10.5,21.0,RAIL_FRACTURE_RISK,EMERGENCY,180,2026-10-05 06:00:00,2026-10-05 12:00:00,30,"[""TAMPING_01""]",False,ES-GZB-ALJN,PENDING,BASE_POOL
REQ-3018,SIGNAL_TELECOM,SIMULATED_SMMS,AST-PNT-1129,ETW-CNB,ETW-CNB-DN,111.2,111.4,SNT_CABLE_MEGGERING_INSPECTION,ROUTINE,120,2026-10-05 07:00:00,2026-10-11 07:00:00,0,[],False,ES-ETW-CNB,PENDING,BASE_POOL
REQ-3019,ENGINEERING,SIMULATED_TMS,AST-TRK-1094,TDL-ETW,TDL-ETW-DN,71.6,81.8,BALLAST_CLEANING_DEEP,ROUTINE,300,2026-10-01 06:00:00,2026-10-08 06:00:00,45,"[""BCM_01""]",True,ES-TDL-ETW,PENDING,BASE_POOL
REQ-3020,SIGNAL_TELECOM,SIMULATED_SMMS,AST-SIG-1084,TDL-ETW,TDL-ETW-UP,27.6,27.7,SNT_CABLE_MEGGERING_INSPECTION,ROUTINE,120,2026-10-01 08:00:00,2026-10-05 08:00:00,0,[],False,ES-TDL-ETW,PENDING,BASE_POOL
REQ-3021,SIGNAL_TELECOM,SIMULATED_SMMS,AST-PNT-1040,GZB-ALJN,GZB-ALJN-UP,84.0,84.2,AXLE_COUNTER_RESET_FAULT,URGENT,60,2026-10-04 09:00:00,2026-10-08 09:00:00,0,[],False,ES-GZB-ALJN,PENDING,BASE_POOL
REQ-3022,ENGINEERING,SIMULATED_TMS,AST-TRK-1118,ETW-CNB,ETW-CNB-DN,32.1,42.8,TRACK_GEOMETRY_TWIST,URGENT,150,2026-10-03 07:00:00,2026-10-05 07:00:00,75,"[""UNIMAT_01""]",False,ES-ETW-CNB,PENDING,BASE_POOL
REQ-3023,SIGNAL_TELECOM,SIMULATED_SMMS,AST-SIG-1013,NDLS-GZB,NDLS-GZB-UP-SLOW,7.5,7.6,SNT_CABLE_MEGGERING_INSPECTION,ROUTINE,120,2026-10-02 05:00:00,2026-10-08 05:00:00,0,[],False,ES-NDLS-GZB,PENDING,BASE_POOL
REQ-3024,ENGINEERING,SIMULATED_TMS,AST-TRK-1110,ETW-CNB,ETW-CNB-UP,117.6,128.3,OVERDUE_TAMPING,ROUTINE,240,2026-10-02 10:00:00,2026-10-06 10:00:00,0,"[""TAMPING_02""]",False,ES-ETW-CNB,PENDING,BASE_POOL
REQ-3025,TRD,SIMULATED_TDMS,AST-OHE-1020,NDLS-GZB,NDLS-GZB-DN-SLOW,0.0,25.0,DROPPER_REGULATION_ADJUSTMENT,ROUTINE,120,2026-10-03 05:00:00,2026-10-07 05:00:00,0,"[""TOWER_WAGON_01""]",True,ES-NDLS-GZB,PENDING,BASE_POOL
REQ-3026,SIGNAL_TELECOM,SIMULATED_SMMS,AST-SIG-1172,CNB-PRYJ,CNB-PRYJ-DN,58.2,58.3,SIGNAL_ASPECT_LED_BURNOUT,URGENT,45,2026-10-02 06:00:00,2026-10-04 06:00:00,0,[],False,ES-CNB-PRYJ,PENDING,BASE_POOL
REQ-3027,SIGNAL_TELECOM,SIMULATED_SMMS,AST-PNT-1073,ALJN-TDL,ALJN-TDL-DN,62.4,62.6,SNT_CABLE_MEGGERING_INSPECTION,ROUTINE,120,2026-10-03 07:00:00,2026-10-09 07:00:00,0,[],False,ES-ALJN-TDL,PENDING,BASE_POOL
REQ-3028,ENGINEERING,SIMULATED_TMS,AST-TRK-1082,TDL-ETW,TDL-ETW-UP,71.6,81.8,TRACK_GEOMETRY_TWIST,URGENT,150,2026-10-05 09:00:00,2026-10-08 09:00:00,75,"[""UNIMAT_01""]",False,ES-TDL-ETW,PENDING,BASE_POOL
REQ-3029,SIGNAL_TELECOM,SIMULATED_SMMS,AST-PNT-1027,ANVT-GZB,ANVT-GZB-DN,12.0,12.2,POINT_MACHINE_DETECTION_FAILURE,EMERGENCY,90,2026-10-06 09:00:00,2026-10-06 17:00:00,30,[],False,ES-ANVT-GZB,PENDING,BASE_POOL
REQ-3030,SIGNAL_TELECOM,SIMULATED_SMMS,AST-PNT-1040,GZB-ALJN,GZB-ALJN-UP,84.0,84.2,SIGNAL_ASPECT_LED_BURNOUT,URGENT,45,2026-10-03 09:00:00,2026-10-07 09:00:00,0,[],False,ES-GZB-ALJN,PENDING,BASE_POOL
REQ-3031,TRD,SIMULATED_TDMS,AST-OHE-1130,ETW-CNB,ETW-CNB-DN,0.0,139.0,DROPPER_REGULATION_ADJUSTMENT,ROUTINE,120,2026-10-06 01:00:00,2026-10-11 01:00:00,0,"[""TOWER_WAGON_01""]",True,ES-ETW-CNB,PENDING,BASE_POOL
REQ-3032,ENGINEERING,SIMULATED_TMS,AST-TRK-1037,GZB-ALJN,GZB-ALJN-UP,84.0,94.5,IMR_ULTRASONIC_FLAW,CRITICAL,120,2026-10-02 05:00:00,2026-10-04 05:00:00,50,"[""TAMPING_01""]",False,ES-GZB-ALJN,PENDING,BASE_POOL
REQ-3033,SIGNAL_TELECOM,SIMULATED_SMMS,AST-SIG-1013,NDLS-GZB,NDLS-GZB-UP-SLOW,7.5,7.6,TRACK_CIRCUIT_INTERMITTENT_DROP,CRITICAL,75,2026-10-04 05:00:00,2026-10-06 05:00:00,45,[],False,ES-NDLS-GZB,PENDING,BASE_POOL
REQ-3034,SIGNAL_TELECOM,SIMULATED_SMMS,AST-SIG-1062,ALJN-TDL,ALJN-TDL-UP,23.4,23.5,SNT_CABLE_MEGGERING_INSPECTION,ROUTINE,120,2026-10-02 07:00:00,2026-10-07 07:00:00,0,[],False,ES-ALJN-TDL,PENDING,BASE_POOL
REQ-3035,ENGINEERING,SIMULATED_TMS,AST-TRK-1046,GZB-ALJN,GZB-ALJN-DN,42.0,52.5,RAIL_FRACTURE_RISK,EMERGENCY,180,2026-10-02 05:00:00,2026-10-02 18:00:00,30,"[""TAMPING_01""]",False,ES-GZB-ALJN,PENDING,BASE_POOL
REQ-3036,SIGNAL_TELECOM,SIMULATED_SMMS,AST-PNT-1129,ETW-CNB,ETW-CNB-DN,111.2,111.4,SIGNAL_ASPECT_LED_BURNOUT,URGENT,45,2026-10-06 01:00:00,2026-10-08 01:00:00,0,[],False,ES-ETW-CNB,PENDING,BASE_POOL
REQ-3037,ENGINEERING,SIMULATED_TMS,AST-TRK-1036,GZB-ALJN,GZB-ALJN-UP,73.5,84.0,RAIL_FRACTURE_RISK,EMERGENCY,180,2026-10-03 05:00:00,2026-10-03 21:00:00,30,"[""TAMPING_01""]",False,ES-GZB-ALJN,PENDING,BASE_POOL
REQ-3038,SIGNAL_TELECOM,SIMULATED_SMMS,AST-SIG-1008,NDLS-GZB,NDLS-GZB-DN-FAST,7.5,7.6,SIGNAL_ASPECT_LED_BURNOUT,URGENT,45,2026-10-01 01:00:00,2026-10-03 01:00:00,0,[],False,ES-NDLS-GZB,PENDING,BASE_POOL
REQ-3039,ENGINEERING,SIMULATED_TMS,AST-TRK-1066,ALJN-TDL,ALJN-TDL-DN,11.1,22.3,RAIL_FRACTURE_RISK,EMERGENCY,180,2026-10-04 06:00:00,2026-10-04 22:00:00,30,"[""TAMPING_01""]",False,ES-ALJN-TDL,PENDING,BASE_POOL
REQ-3040,SIGNAL_TELECOM,SIMULATED_SMMS,AST-PNT-1014,NDLS-GZB,NDLS-GZB-UP-SLOW,20.0,20.2,SIGNAL_ASPECT_LED_BURNOUT,URGENT,45,2026-10-06 03:00:00,2026-10-08 03:00:00,0,[],False,ES-NDLS-GZB,PENDING,BASE_POOL
REQ-3041,ENGINEERING,SIMULATED_TMS,AST-TRK-1137,CNB-PRYJ,CNB-PRYJ-UP,61.3,71.5,BALLAST_CLEANING_DEEP,ROUTINE,300,2026-10-01 09:00:00,2026-10-07 09:00:00,45,"[""BCM_01""]",True,ES-CNB-PRYJ,PENDING,BASE_POOL
REQ-3042,SIGNAL_TELECOM,SIMULATED_SMMS,AST-PNT-1014,NDLS-GZB,NDLS-GZB-UP-SLOW,20.0,20.2,TRACK_CIRCUIT_INTERMITTENT_DROP,CRITICAL,75,2026-10-05 02:00:00,2026-10-07 02:00:00,45,[],False,ES-NDLS-GZB,PENDING,BASE_POOL
REQ-3043,ENGINEERING,SIMULATED_TMS,AST-TRK-1111,ETW-CNB,ETW-CNB-UP,128.3,139.0,OVERDUE_TAMPING,ROUTINE,240,2026-10-06 04:00:00,2026-10-13 04:00:00,0,"[""TAMPING_02""]",False,ES-ETW-CNB,PENDING,BASE_POOL
REQ-3044,ENGINEERING,SIMULATED_TMS,AST-TRK-1032,GZB-ALJN,GZB-ALJN-UP,31.5,42.0,IMR_ULTRASONIC_FLAW,CRITICAL,120,2026-10-02 05:00:00,2026-10-04 05:00:00,50,"[""TAMPING_01""]",False,ES-GZB-ALJN,PENDING,BASE_POOL
REQ-3045,SIGNAL_TELECOM,SIMULATED_SMMS,AST-PNT-1009,NDLS-GZB,NDLS-GZB-DN-FAST,20.0,20.2,SIGNAL_ASPECT_LED_BURNOUT,URGENT,45,2026-10-05 06:00:00,2026-10-09 06:00:00,0,[],False,ES-NDLS-GZB,PENDING,BASE_POOL
REQ-3046,TRD,SIMULATED_TDMS,AST-OHE-1086,TDL-ETW,TDL-ETW-UP,0.0,92.0,DROPPER_REGULATION_ADJUSTMENT,ROUTINE,120,2026-10-04 08:00:00,2026-10-09 08:00:00,0,"[""TOWER_WAGON_01""]",True,ES-TDL-ETW,PENDING,BASE_POOL
REQ-3047,TRD,SIMULATED_TDMS,AST-OHE-1024,ANVT-GZB,ANVT-GZB-UP,0.0,15.0,INSULATOR_HEAVY_POLLUTION_CLEANING,URGENT,90,2026-10-04 06:00:00,2026-10-07 06:00:00,0,"[""TOWER_WAGON_02""]",True,ES-ANVT-GZB,PENDING,BASE_POOL
REQ-3048,ENGINEERING,SIMULATED_TMS,AST-TRK-1169,CNB-PRYJ,CNB-PRYJ-DN,163.4,173.6,BALLAST_CLEANING_DEEP,ROUTINE,300,2026-10-01 01:00:00,2026-10-06 01:00:00,45,"[""BCM_01""]",True,ES-CNB-PRYJ,PENDING,BASE_POOL
REQ-3049,ENGINEERING,SIMULATED_TMS,AST-TRK-1080,TDL-ETW,TDL-ETW-UP,51.1,61.3,TRACK_GEOMETRY_TWIST,URGENT,150,2026-10-06 06:00:00,2026-10-10 06:00:00,75,"[""UNIMAT_01""]",False,ES-TDL-ETW,PENDING,BASE_POOL
REQ-3050,ENGINEERING,SIMULATED_TMS,AST-TRK-1156,CNB-PRYJ,CNB-PRYJ-DN,30.6,40.8,IMR_ULTRASONIC_FLAW,CRITICAL,120,2026-10-04 07:00:00,2026-10-05 07:00:00,50,"[""TAMPING_01""]",False,ES-CNB-PRYJ,PENDING,BASE_POOL
REQ-3051,TRD,SIMULATED_TDMS,AST-OHE-1114,ETW-CNB,ETW-CNB-UP,0.0,139.0,INSULATOR_HEAVY_POLLUTION_CLEANING,URGENT,90,2026-10-03 02:00:00,2026-10-05 02:00:00,0,"[""TOWER_WAGON_02""]",True,ES-ETW-CNB,PENDING,BASE_POOL
REQ-3052,ENGINEERING,SIMULATED_TMS,AST-TRK-1156,CNB-PRYJ,CNB-PRYJ-DN,30.6,40.8,IMR_ULTRASONIC_FLAW,CRITICAL,120,2026-10-04 06:00:00,2026-10-06 06:00:00,50,"[""TAMPING_01""]",False,ES-CNB-PRYJ,PENDING,BASE_POOL
REQ-3053,TRD,SIMULATED_TDMS,AST-OHE-1064,ALJN-TDL,ALJN-TDL-UP,0.0,78.0,OHE_CANTILEVER_FLASH_BURN,EMERGENCY,120,2026-10-04 08:00:00,2026-10-05 01:00:00,30,"[""TOWER_WAGON_01""]",True,ES-ALJN-TDL,PENDING,BASE_POOL
REQ-3054,SIGNAL_TELECOM,SIMULATED_SMMS,AST-PNT-1085,TDL-ETW,TDL-ETW-UP,73.6,73.8,SIGNAL_ASPECT_LED_BURNOUT,URGENT,45,2026-10-01 03:00:00,2026-10-05 03:00:00,0,[],False,ES-TDL-ETW,PENDING,BASE_POOL
REQ-3055,ENGINEERING,SIMULATED_TMS,AST-TRK-1021,ANVT-GZB,ANVT-GZB-UP,0.0,15.0,TRACK_GEOMETRY_TWIST,URGENT,150,2026-10-04 10:00:00,2026-10-08 10:00:00,75,"[""UNIMAT_01""]",False,ES-ANVT-GZB,PENDING,BASE_POOL
REQ-3056,TRD,SIMULATED_TDMS,AST-OHE-1086,TDL-ETW,TDL-ETW-UP,0.0,92.0,NEUTRAL_SECTION_PTFE_REPLACEMENT,ROUTINE,180,2026-10-06 01:00:00,2026-10-10 01:00:00,0,"[""TOWER_WAGON_02""]",True,ES-TDL-ETW,PENDING,BASE_POOL
REQ-3057,SIGNAL_TELECOM,SIMULATED_SMMS,AST-PNT-1027,ANVT-GZB,ANVT-GZB-DN,12.0,12.2,SIGNAL_ASPECT_LED_BURNOUT,URGENT,45,2026-10-06 03:00:00,2026-10-08 03:00:00,0,[],False,ES-ANVT-GZB,PENDING,BASE_POOL
REQ-3058,SIGNAL_TELECOM,SIMULATED_SMMS,AST-PNT-1073,ALJN-TDL,ALJN-TDL-DN,62.4,62.6,AXLE_COUNTER_RESET_FAULT,URGENT,60,2026-10-05 02:00:00,2026-10-07 02:00:00,0,[],False,ES-ALJN-TDL,PENDING,BASE_POOL
REQ-3059,ENGINEERING,SIMULATED_TMS,AST-TRK-1103,ETW-CNB,ETW-CNB-UP,42.8,53.5,IMR_ULTRASONIC_FLAW,CRITICAL,120,2026-10-05 07:00:00,2026-10-07 07:00:00,50,"[""TAMPING_01""]",False,ES-ETW-CNB,PENDING,BASE_POOL
REQ-3060,SIGNAL_TELECOM,SIMULATED_SMMS,AST-SIG-1022,ANVT-GZB,ANVT-GZB-UP,4.5,4.6,AXLE_COUNTER_RESET_FAULT,URGENT,60,2026-10-02 10:00:00,2026-10-05 10:00:00,0,[],False,ES-ANVT-GZB,PENDING,BASE_POOL
REQ-3061,TRD,SIMULATED_TDMS,AST-OHE-1041,GZB-ALJN,GZB-ALJN-UP,0.0,105.0,OHE_CANTILEVER_FLASH_BURN,EMERGENCY,120,2026-10-04 06:00:00,2026-10-04 14:00:00,30,"[""TOWER_WAGON_01""]",True,ES-GZB-ALJN,PENDING,BASE_POOL
REQ-3062,ENGINEERING,SIMULATED_TMS,AST-TRK-1079,TDL-ETW,TDL-ETW-UP,40.9,51.1,BALLAST_CLEANING_DEEP,ROUTINE,300,2026-10-02 01:00:00,2026-10-06 01:00:00,45,"[""BCM_01""]",True,ES-TDL-ETW,PENDING,BASE_POOL
REQ-3063,TRD,SIMULATED_TDMS,AST-OHE-1054,GZB-ALJN,GZB-ALJN-DN,0.0,105.0,OHE_CANTILEVER_FLASH_BURN,EMERGENCY,120,2026-10-04 04:00:00,2026-10-04 14:00:00,30,"[""TOWER_WAGON_01""]",True,ES-GZB-ALJN,PENDING,BASE_POOL
REQ-3064,TRD,SIMULATED_TDMS,AST-OHE-1028,ANVT-GZB,ANVT-GZB-DN,0.0,15.0,OHE_CANTILEVER_FLASH_BURN,EMERGENCY,120,2026-10-04 10:00:00,2026-10-04 22:00:00,30,"[""TOWER_WAGON_01""]",True,ES-ANVT-GZB,PENDING,BASE_POOL
REQ-3065,SIGNAL_TELECOM,SIMULATED_SMMS,AST-PNT-1023,ANVT-GZB,ANVT-GZB-UP,12.0,12.2,POINT_MACHINE_DETECTION_FAILURE,EMERGENCY,90,2026-10-03 03:00:00,2026-10-03 18:00:00,30,[],False,ES-ANVT-GZB,PENDING,BASE_POOL
REQ-3066,ENGINEERING,SIMULATED_TMS,AST-TRK-1134,CNB-PRYJ,CNB-PRYJ-UP,30.6,40.8,BALLAST_CLEANING_DEEP,ROUTINE,300,2026-10-04 08:00:00,2026-10-11 08:00:00,45,"[""BCM_01""]",True,ES-CNB-PRYJ,PENDING,BASE_POOL
REQ-3067,ENGINEERING,SIMULATED_TMS,AST-TRK-1134,CNB-PRYJ,CNB-PRYJ-UP,30.6,40.8,IMR_ULTRASONIC_FLAW,CRITICAL,120,2026-10-02 05:00:00,2026-10-04 05:00:00,50,"[""TAMPING_01""]",False,ES-CNB-PRYJ,PENDING,BASE_POOL
REQ-3068,TRD,SIMULATED_TDMS,AST-OHE-1114,ETW-CNB,ETW-CNB-UP,0.0,139.0,CONTACT_WIRE_PARTING_RISK,CRITICAL,150,2026-10-04 04:00:00,2026-10-05 04:00:00,45,"[""TOWER_WAGON_01""]",True,ES-ETW-CNB,PENDING,BASE_POOL
REQ-3069,TRD,SIMULATED_TDMS,AST-OHE-1074,ALJN-TDL,ALJN-TDL-DN,0.0,78.0,CONTACT_WIRE_PARTING_RISK,CRITICAL,150,2026-10-04 03:00:00,2026-10-06 03:00:00,45,"[""TOWER_WAGON_01""]",True,ES-ALJN-TDL,PENDING,BASE_POOL
REQ-3070,TRD,SIMULATED_TDMS,AST-OHE-1005,NDLS-GZB,NDLS-GZB-UP-FAST,0.0,25.0,INSULATOR_HEAVY_POLLUTION_CLEANING,URGENT,90,2026-10-03 04:00:00,2026-10-07 04:00:00,0,"[""TOWER_WAGON_02""]",True,ES-NDLS-GZB,PENDING,BASE_POOL
REQ-3071,SIGNAL_TELECOM,SIMULATED_SMMS,AST-PNT-1053,GZB-ALJN,GZB-ALJN-DN,84.0,84.2,AXLE_COUNTER_RESET_FAULT,URGENT,60,2026-10-05 08:00:00,2026-10-07 08:00:00,0,[],False,ES-GZB-ALJN,PENDING,BASE_POOL
REQ-3072,ENGINEERING,SIMULATED_TMS,AST-TRK-1036,GZB-ALJN,GZB-ALJN-UP,73.5,84.0,TRACK_GEOMETRY_TWIST,URGENT,150,2026-10-06 07:00:00,2026-10-10 07:00:00,75,"[""UNIMAT_01""]",False,ES-GZB-ALJN,PENDING,BASE_POOL
REQ-3073,ENGINEERING,SIMULATED_TMS,AST-TRK-1080,TDL-ETW,TDL-ETW-UP,51.1,61.3,OVERDUE_TAMPING,ROUTINE,240,2026-10-06 10:00:00,2026-10-12 10:00:00,0,"[""TAMPING_02""]",False,ES-TDL-ETW,PENDING,BASE_POOL
REQ-3074,ENGINEERING,SIMULATED_TMS,AST-TRK-1108,ETW-CNB,ETW-CNB-UP,96.2,106.9,RAIL_FRACTURE_RISK,EMERGENCY,180,2026-10-01 06:00:00,2026-10-01 15:00:00,30,"[""TAMPING_01""]",False,ES-ETW-CNB,PENDING,BASE_POOL
REQ-3075,SIGNAL_TELECOM,SIMULATED_SMMS,AST-SIG-1096,TDL-ETW,TDL-ETW-DN,27.6,27.7,SNT_CABLE_MEGGERING_INSPECTION,ROUTINE,120,2026-10-06 10:00:00,2026-10-10 10:00:00,0,[],False,ES-TDL-ETW,PENDING,BASE_POOL
REQ-3076,ENGINEERING,SIMULATED_TMS,AST-TRK-1101,ETW-CNB,ETW-CNB-UP,21.4,32.1,BALLAST_CLEANING_DEEP,ROUTINE,300,2026-10-04 05:00:00,2026-10-11 05:00:00,45,"[""BCM_01""]",True,ES-ETW-CNB,PENDING,BASE_POOL
REQ-3077,SIGNAL_TELECOM,SIMULATED_SMMS,AST-SIG-1022,ANVT-GZB,ANVT-GZB-UP,4.5,4.6,SNT_CABLE_MEGGERING_INSPECTION,ROUTINE,120,2026-10-01 10:00:00,2026-10-06 10:00:00,0,[],False,ES-ANVT-GZB,PENDING,BASE_POOL
REQ-3078,ENGINEERING,SIMULATED_TMS,AST-TRK-1101,ETW-CNB,ETW-CNB-UP,21.4,32.1,OVERDUE_TAMPING,ROUTINE,240,2026-10-03 08:00:00,2026-10-08 08:00:00,0,"[""TAMPING_02""]",False,ES-ETW-CNB,PENDING,BASE_POOL
REQ-3079,ENGINEERING,SIMULATED_TMS,AST-TRK-1133,CNB-PRYJ,CNB-PRYJ-UP,20.4,30.6,BALLAST_CLEANING_DEEP,ROUTINE,300,2026-10-04 03:00:00,2026-10-10 03:00:00,45,"[""BCM_01""]",True,ES-CNB-PRYJ,PENDING,BASE_POOL
REQ-3080,ENGINEERING,SIMULATED_TMS,AST-TRK-1012,NDLS-GZB,NDLS-GZB-UP-SLOW,12.5,25.0,IMR_ULTRASONIC_FLAW,CRITICAL,120,2026-10-04 05:00:00,2026-10-06 05:00:00,50,"[""TAMPING_01""]",False,ES-NDLS-GZB,PENDING,BASE_POOL
SCN-01-ENG,ENGINEERING,SIMULATED_TMS,AST-TRK-1029,GZB-ALJN,GZB-ALJN-UP,25.0,35.0,TRACK_GEOMETRY_TWIST,URGENT,150,2026-10-01 10:00:00,2026-10-01 16:00:00,50,"[""TAMPING_01""]",False,ES-GZB-ALJN,PENDING,SCENARIO_1_MEGA_BLOCK
SCN-01-SNT,SIGNAL_TELECOM,SIMULATED_SMMS,AST-SIG-1039,GZB-ALJN,GZB-ALJN-UP,28.0,28.5,POINT_MACHINE_DETECTION_FAILURE,URGENT,90,2026-10-01 10:15:00,2026-10-01 16:00:00,30,[],False,ES-GZB-ALJN,PENDING,SCENARIO_1_MEGA_BLOCK
SCN-01-TRD,TRD,SIMULATED_TDMS,AST-OHE-1041,GZB-ALJN,GZB-ALJN-UP,20.0,40.0,INSULATOR_HEAVY_POLLUTION_CLEANING,URGENT,120,2026-10-01 10:00:00,2026-10-01 16:00:00,0,"[""TOWER_WAGON_01""]",True,ES-GZB-ALJN,PENDING,SCENARIO_1_MEGA_BLOCK
SCN-02-EMERGENCY,ENGINEERING,SIMULATED_TMS,AST-TRK-1001,NDLS-GZB,NDLS-GZB-UP-FAST,8.5,9.0,RAIL_FRACTURE_RISK,EMERGENCY,120,2026-10-01 06:00:00,2026-10-01 12:00:00,20,"[""TAMPING_01""]",False,ES-NDLS-GZB-UP-F,PENDING,SCENARIO_2_EMERGENCY_ESCALATION
SCN-04-MACH-CLASH,ENGINEERING,SIMULATED_TMS,AST-TRK-1131,CNB-PRYJ,CNB-PRYJ-DN,15.0,25.0,IMR_ULTRASONIC_FLAW,CRITICAL,150,2026-10-01 11:00:00,2026-10-01 17:00:00,45,"[""TAMPING_01""]",False,ES-CNB-PRYJ,PENDING,SCENARIO_4_MACHINE_CONFLICT
